name,code,credits,type,isMajor,forDeptAcronym
Introduction to Computer Science,CSE101,3.0,THEORY,True,CSE
Introduction to Computer Science Lab,CSE102,1.5,LAB,True,CSE
Structured Programming Language,CSE103,3.0,THEORY,True,CSE
Structured Programming Language Lab,CSE104,1.5,LAB,True,CSE
Digital Logic Design,CSE105,3.0,THEORY,True,CSE
Digital Logic Design Lab,CSE106,1.5,LAB,True,CSE
Programming for Engineers I,CSE110,3.0,THEORY,False,EEE
Programming for Engineers I Lab,CSE111,1.5,LAB,False,EEE
Computer Applications for Business,CSE112,2.0,THEORY,False,BUS
Computer Applications for Business Lab,CSE113,1.0,LAB,False,BUS
Programming for Scientists,CSE114,3.0,THEORY,False,PHY
Programming for Scientists Lab,CSE115,1.5,LAB,False,CHE
Computational Methods for Civil Eng.,CSE116,2.0,THEORY,False,CEE
Computational Methods for Civil Eng. Lab,CSE117,1.0,LAB,False,CEE
Introduction to Computing for Architects,CSE118,2.0,THEORY,False,ARC
Introduction to Computing for Architects Lab,CSE119,1.5,LAB,False,ARC
Data Structures,CSE150,3.0,THEORY,True,CSE
Data Structures Lab,CSE151,1.5,LAB,True,CSE
Object Oriented Programming,CSE152,3.0,THEORY,True,CSE
Object Oriented Programming Lab,CSE153,1.5,LAB,True,CSE
Discrete Mathematics for CS,CSE154,3.0,THEORY,True,CSE
Programming for Engineers II,CSE160,3.0,THEORY,False,MEE
Programming for Engineers II Lab,CSE161,1.5,LAB,False,MEE
Computer Aided Design,CSE162,2.0,THEORY,False,IPE
Computer Aided Design Lab,CSE163,1.5,LAB,False,IPE
Data Analysis for Social Science,CSE164,2.0,THEORY,False,SOC
Data Analysis for Social Science Lab,CSE165,1.0,LAB,False,ANP
Programming for Chemical Engineers,CSE166,2.0,THEORY,False,CEP
Programming for Chemical Engineers Lab,CSE167,1.0,LAB,False,CEP
IT Workshop,CSE170,1.5,LAB,True,CSE
Algorithms,CSE201,3.0,THEORY,True,CSE
Algorithms Lab,CSE202,1.5,LAB,True,CSE
Computer Architecture and Organization,CSE203,3.0,THEORY,True,CSE
Database Management Systems,CSE204,3.0,THEORY,True,CSE
Database Management Systems Lab,CSE205,1.5,LAB,True,CSE
Numerical Methods in Engineering,CSE210,3.0,THEORY,False,PME
Numerical Methods in Engineering Lab,CSE211,1.5,LAB,False,PME
Computational Statistics,CSE212,2.0,THEORY,False,STA
Computational Statistics Lab,CSE213,1.0,LAB,False,STA
Intro to Bioinformatics Programming,CSE214,2.0,THEORY,False,GEB
Intro to Bioinformatics Programming Lab,CSE215,1.0,LAB,False,BMB
Web Development for All,CSE216,2.0,THEORY,False,SWK
